                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.81381,                0.47539,                0.94312,                0.89781,                0.77024,                0.91483,                0.64117,                 1.0512,                0.54382,                 1.0181,             0.00027237,             0.00027237,             0.00027237
                     82,                0.79576,                0.45825,                0.93458,                0.92754,                0.85325,                 0.9347,                0.64048,                 1.0515,                0.54496,                 1.0174,                0.00026,                0.00026,                0.00026
                     83,                0.79698,                0.45702,                0.94857,                0.94329,                0.82096,                0.93566,                0.61713,                 1.0458,                0.52696,                 1.0238,             0.00024762,             0.00024762,             0.00024762
                     84,                0.77774,                0.45503,                0.94178,                0.93771,                0.86077,                0.94372,                0.66306,                  1.035,                0.51805,                 1.0186,             0.00023525,             0.00023525,             0.00023525
                     85,                0.80313,                0.46718,                0.94335,                0.92154,                0.88182,                0.94824,                0.63493,                 1.0328,                0.51951,                 1.0196,             0.00022288,             0.00022288,             0.00022288
                     86,                0.79217,                  0.448,                0.92754,                0.92353,                0.86752,                0.94144,                0.62787,                 1.0476,                0.51626,                  1.026,              0.0002105,              0.0002105,              0.0002105
                     87,                 0.7589,                0.43793,                0.92587,                0.83439,                0.87441,                0.91741,                0.63404,                   1.05,                0.52993,                 1.0198,             0.00019813,             0.00019813,             0.00019813
                     88,                0.73629,                0.43605,                0.92787,                0.83211,                0.88951,                0.91359,                0.63479,                 1.0527,                0.53511,                 1.0227,             0.00018575,             0.00018575,             0.00018575
                     89,                0.73815,                0.43276,                0.93255,                0.92151,                 0.8431,                0.92911,                0.62831,                 1.0557,                0.53162,                 1.0206,             0.00017338,             0.00017338,             0.00017338
                     90,                0.74614,                0.43793,                0.93425,                0.90194,                0.84968,                0.93054,                 0.6513,                  1.055,                0.54247,                 1.0168,               0.000161,               0.000161,               0.000161
                     91,                0.66067,                0.39715,                0.87997,                0.89512,                0.84495,                0.92523,                0.65366,                 1.0491,                0.55961,                 1.0194,             0.00014862,             0.00014862,             0.00014862
                     92,                0.65313,                0.35688,                0.86585,                 0.9112,                0.82687,                0.92167,                0.66225,                 1.0433,                0.56316,                 1.0156,             0.00013625,             0.00013625,             0.00013625
                     93,                0.64348,                0.35352,                0.87267,                0.92062,                0.83924,                0.91332,                0.65103,                 1.0483,                 0.5525,                 1.0116,             0.00012387,             0.00012387,             0.00012387
                     94,                0.64174,                0.34402,                0.86658,                0.91462,                0.85421,                0.91367,                0.64309,                 1.0554,                0.55975,                  1.009,              0.0001115,              0.0001115,              0.0001115
                     95,                0.62103,                 0.3363,                0.87079,                0.91351,                0.85948,                0.91392,                 0.6484,                 1.0541,                0.56227,                 1.0068,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.60972,                0.32737,                0.85275,                0.91332,                0.85529,                0.92591,                0.66654,                 1.0406,                0.56543,                 1.0036,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.60347,                0.33958,                0.86534,                0.91022,                0.85121,                0.92388,                0.63061,                 1.0403,                0.57334,                 1.0096,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                  0.636,                0.33669,                0.87323,                0.91059,                0.84802,                 0.9251,                0.63231,                 1.0335,                0.56045,                 1.0127,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.59759,                 0.3305,                0.85526,                0.91599,                0.85422,                0.92586,                0.65963,                 1.0314,                0.55128,                 1.0109,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.59728,                0.32742,                0.84916,                0.92065,                0.85811,                 0.9305,                 0.6473,                 1.0321,                0.54268,                 1.0064,              3.725e-05,              3.725e-05,              3.725e-05
